k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,val_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
5,H3K4me1,2,947,800,118,117,11,119.0,0.8113063407181055,0.2773109243697479,0.9663865546218487,0.211864406779661,0.15522703273495247,0.7272727272727273
5,H3K4me1,3,32,32,4,4,11,4.0,0.7727272727272727,0.0,1.0,0.0,0.0,0.0
5,H3K4me1,4,1945,1344,243,221,11,244.0,0.8360655737704917,0.35655737704918034,0.9631147540983607,0.3868312757201646,0.3089974293059126,4.818181818181818
5,H3K4me3,1,8315,4598,1039,854,11,1040.0,0.8905594405594406,0.5778846153846153,0.9730769230769231,0.5774783445620789,0.4470234515935057,63.27272727272727
5,H3K4me3,2,5443,3213,680,573,11,681.0,0.8761180082765986,0.5315712187958884,0.9574155653450808,0.525,0.4097005327944148,29.272727272727273
5,H3K4me3,3,12046,7263,1506,1228,11,1506.0,0.8777616805505253,0.5265604249667994,0.9594953519256308,0.5033200531208499,0.39706126515025736,121.72727272727273
5,H3K4me3,4,9300,4992,1163,941,11,1163.0,0.9014304697881653,0.6208082545141874,0.9716251074806534,0.6139294926913156,0.4632258064516129,92.27272727272727
5,H3K9me3,1,283,212,35,33,11,36.0,0.8282828282828283,0.3055555555555556,1.0,0.42857142857142855,0.2508833922261484,2.3636363636363638
5,H3K9me3,2,126,115,16,16,11,16.0,0.7897727272727273,0.125,1.0,0.25,0.0873015873015873,0.45454545454545453
5,H3K9me3,3,145,111,18,17,11,19.0,0.8229665071770335,0.3157894736842105,1.0,0.2222222222222222,0.23448275862068965,0.0
5,H3K9me3,4,145,117,18,16,11,19.0,0.8373205741626795,0.3684210526315789,1.0,0.3333333333333333,0.19310344827586207,1.2727272727272727
5,POLR2A,1,2694,2308,337,323,11,337.0,0.8165632586997571,0.3056379821958457,0.9436201780415431,0.29376854599406527,0.1432813659985152,13.181818181818182
5,POLR2A,2,2744,2255,343,329,11,343.0,0.8165915716936126,0.2944606413994169,0.9504373177842566,0.2857142857142857,0.1782069970845481,18.09090909090909
5,POLR2A,3,3739,2575,467,411,11,468.0,0.8632478632478633,0.4807692307692308,0.967948717948718,0.4603854389721627,0.3113131853436748,31.90909090909091
5,POLR2A,4,4624,3343,578,534,11,578.0,0.835482856244102,0.36678200692041524,0.9584775086505191,0.41695501730103807,0.27703287197231835,47.45454545454545
5,POLR2AphosphoS5,1,5952,4930,744,717,11,744.0,0.8110948191593352,0.28360215053763443,0.9422043010752689,0.2647849462365591,0.17170698924731181,47.81818181818182
5,POLR2AphosphoS5,2,1132,1080,142,141,11,142.0,0.7784891165172855,0.13380281690140844,0.9507042253521126,0.04929577464788732,0.045936395759717315,0.5454545454545454
5,POLR2AphosphoS5,3,5310,4411,664,638,11,664.0,0.8117469879518072,0.2936746987951807,0.9412650602409639,0.28313253012048195,0.16930320150659134,37.27272727272727
5,POLR2AphosphoS5,4,4809,3880,601,569,11,602.0,0.8201449713077621,0.33056478405315615,0.9435215946843853,0.3227953410981697,0.19317945518818883,41.27272727272727
6,ATACseq,1,3576,3037,447,434,11,447.0,0.8053691275167784,0.2684563758389262,0.9351230425055929,0.26174496644295303,0.15072706935123042,9.818181818181818
6,ATACseq,2,8545,6818,1068,1012,11,1069.0,0.8224338804320097,0.3292797006548176,0.9420018709073901,0.2818352059925094,0.20210649502633118,71.27272727272727
6,ATACseq,3,7262,5509,908,843,11,908.0,0.8373047657188625,0.3876651982378855,0.9416299559471366,0.36784140969163,0.24139355549435418,48.81818181818182
6,ATACseq,4,4307,3085,538,483,11,539.0,0.8412885815483219,0.3784786641929499,0.9573283858998145,0.3996282527881041,0.2837241699558858,21.636363636363637
6,CTCF,1,11547,6598,1443,1213,11,1444.0,0.8929111055149836,0.6024930747922438,0.9626038781163435,0.5717255717255717,0.42859617216593054,161.72727272727272
6,CTCF,2,12080,6787,1510,1301,11,1510.0,0.8916917519566525,0.5860927152317881,0.9649006622516556,0.5496688741721855,0.43816225165562916,173.0909090909091
6,CTCF,3,12624,6789,1578,1291,11,1578.0,0.9028113837999769,0.6273764258555133,0.9702154626108999,0.6305449936628644,0.4622148288973384,193.36363636363637
6,CTCF,4,13731,7133,1716,1366,11,1717.0,0.9166093079896225,0.6843331391962726,0.9743739079790332,0.6252913752913752,0.480518534702498,241.45454545454547
6,EP300,1,1537,1415,192,192,11,193.0,0.7724917569477155,0.15025906735751296,0.9378238341968912,0.109375,0.07937540663630449,5.0
6,EP300,2,124,117,16,16,11,16.0,0.7613636363636364,0.125,1.0,0.0625,0.056451612903225805,0.18181818181818182
6,EP300,3,68,68,9,9,11,9.0,0.7373737373737375,0.1111111111111111,1.0,0.2222222222222222,0.0,0.0
6,EP300,4,564,527,71,71,11,71.0,0.7605633802816901,0.15492957746478872,0.9295774647887324,0.15492957746478872,0.06560283687943262,0.6363636363636364
